hashtag,day_0_retweets,day_0_followers,day_0_occurences,day_0_weekday,day_0_month,day_0_day,day_0_modehour,day_0_avghour,day_1_retweets,day_1_followers,day_1_occurences,day_1_weekday,day_1_month,day_1_day,day_1_modehour,day_1_avghour,day_2_retweets,day_2_followers,day_2_occurences,day_2_weekday,day_2_month,day_2_day,day_2_modehour,day_2_avghour,day_3_retweets,day_3_followers,day_3_occurences,day_3_weekday,day_3_month,day_3_day,day_3_modehour,day_3_avghour,day_4_retweets,day_4_followers,day_4_occurences,day_4_weekday,day_4_month,day_4_day,day_4_modehour,day_4_avghour,day_5_retweets,day_5_followers,day_5_occurences,day_5_weekday,day_5_month,day_5_day,day_5_modehour,day_5_avghour,ids
Imbabura,9107,6532250,265,5,10,13,1,12.1203007518797,1922,3436594,87,6,10,14,0,11.784090909090908,4857,3214516,191,0,10,15,15,15.760416666666666,5864,2420514,213,1,10,16,16,13.369158878504672,3785,1625091,165,2,10,17,15,11.566265060240964,3352,1376618,153,3,10,18,16,13.376623376623376,216
佐藤隆紀,8586,55618,62,5,10,13,0,6.619047619047619,1760,1799,12,6,10,14,0,10.76923076923077,13184,39445,105,0,10,15,13,14.226415094339623,1452,1397,11,1,10,16,0,4.916666666666667,59,3104,9,2,10,17,8,7.2,314,3072,14,3,10,18,10,11.4,11
มโนก่อนไม่รอละนะ,162,356,4,5,10,13,5,3.4,0,0,0,0,0,0,0,0.0,23,36,1,0,10,15,0,2.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
Cumshot,1,10381,8,5,10,13,23,20.444444444444443,39,25372,13,6,10,14,23,21.357142857142858,314,61622,7,0,10,15,23,20.125,8,15695,7,1,10,16,23,20.125,33,19043,14,2,10,17,23,21.4,1,14445,10,3,10,18,23,20.90909090909091,4
rayito,4416340,3592198,3077,5,10,13,23,22.992527615334634,896695,63106,794,6,10,14,23,22.908176100628932,20281,2938,94,0,10,15,23,22.757894736842104,484452,43295,397,1,10,16,23,22.94221105527638,345709,15187,293,2,10,17,23,22.921768707482993,66918,2672,52,3,10,18,23,22.566037735849058,379
M性感,0,24900,40,5,10,13,14,17.48780487804878,3,22542,42,6,10,14,17,17.046511627906977,13,22666,34,0,10,15,14,17.257142857142856,3,33365,58,1,10,16,12,16.338983050847457,8,30034,49,2,10,17,11,16.28,0,26572,45,3,10,18,14,17.17391304347826,24
DQ10,25428,654441,896,5,10,13,9,13.18283166109253,3132,177476,191,6,10,14,23,20.973958333333332,22923,260135,399,0,10,15,22,18.47,28890,142442,192,1,10,16,22,21.60103626943005,4449,82994,89,2,10,17,23,22.344444444444445,7922,50651,92,3,10,18,23,22.311827956989248,198
TensionesEnElPoder,38549,53017,66,5,10,13,19,19.402985074626866,12535,10720,25,6,10,14,0,9.384615384615385,8243,20484,22,0,10,15,1,8.521739130434783,2052,2982,8,1,10,16,0,5.777777777777778,3921,27369,9,2,10,17,0,6.6,190,11054,9,3,10,18,18,11.9,10
RizkiManusiadiJAMINAllohSwt,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
KingOfTheZungleinBKK,5354,19907,86,5,10,13,15,14.885057471264368,33502,143792,394,6,10,14,12,13.934177215189873,3176,29452,90,0,10,15,14,15.153846153846153,3194,43625,97,1,10,16,14,13.255102040816327,3448,35193,98,2,10,17,15,13.585858585858587,8796,144930,82,3,10,18,16,12.024096385542169,85
yellplus,3767,427423,195,5,10,13,23,22.433673469387756,36602,1359594,987,6,10,14,14,14.488866396761134,966,224783,92,0,10,15,23,22.64516129032258,1224,198494,90,1,10,16,23,22.615384615384617,1711,101434,95,2,10,17,23,22.666666666666668,1693,150044,99,3,10,18,23,22.56,194
スロット,552,134228,96,5,10,13,23,20.65979381443299,1123,314549,287,6,10,14,23,15.135416666666666,3483,930857,680,0,10,15,13,10.638766519823788,1136,427544,299,1,10,16,13,15.496666666666666,4342,894312,641,2,10,17,23,10.172897196261681,4365,958515,698,3,10,18,12,10.965665236051501,195
